DienTich,Phongngu,PhongTam,GiayTo,Loai,HuongCuaChinh,TinhTrangNoiThat,DiaChi,Gia,SoTang,DacDiem
32 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Phố Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà NộiXem bản đồ","4,5 tỷ - 32 m2",,
73 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Lê Quang Đạo , Phường Phú Đô, Quận Nam Từ Liêm, Hà NộiXem bản đồ","7,7 tỷ - 73 m2",3,
43 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Phố Vũ Miên, Phường Yên Phụ, Quận Tây Hồ, Hà NộiXem bản đồ","5,8 tỷ - 43 m2",,
36 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Vân Canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà NộiXem bản đồ","2,95 tỷ - 36 m2",4,
30 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","3,8 tỷ - 30 m2",4,Nở hậu
36 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà NộiXem bản đồ","4,95 tỷ - 36 m2",5,
35 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","6,65 tỷ - 35 m2",,
26 m²,1 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Ngõ 210 Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà NộiXem bản đồ","4,55 tỷ - 26 m2",,
39 m²,4 phòng,5 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà NộiXem bản đồ","4,7 tỷ - 39 m2",4,
43 m²,4 phòng,,,"Nhà ngõ, hẻm",,,"Phố Nhật Chiêu, Phường Nhật Tân, Quận Tây Hồ, Hà NộiXem bản đồ","5,4 tỷ - 43 m2",,
